model,hits,n,accuracy_pct,acc_CI95,sensitivity_pct,specificity_pct,PPV_pct,NPV_pct,balanced_acc_pct,F1,AUC_external,Brier,calib_slope,calib_intercept,threshold
LightGBM+PCA,157,219,71.69,"[65.8, 77.6]",71.1,72.4,73.6,69.7,71.7,0.723,0.835,0.169,1.179,-0.044,0.5214
LightGBM+UMAP,160,219,73.06,"[67.1, 79.0]",73.7,72.4,74.3,71.7,73.0,0.74,0.827,0.174,1.184,-0.014,0.5239
XGBoost+PCA,158,219,72.15,"[66.7, 78.1]",72.8,71.4,73.5,70.8,72.1,0.731,0.835,0.169,1.211,-0.04,0.5027
XGBoost+UMAP,154,219,70.32,"[64.4, 76.7]",75.4,64.8,69.9,70.8,70.1,0.726,0.821,0.175,1.143,-0.014,0.4958
RandomForest+PCA,161,219,73.52,"[67.6, 79.5]",72.8,74.3,75.5,71.6,73.5,0.741,0.846,0.165,1.369,-0.034,0.5186
RandomForest+UMAP,163,219,74.43,"[68.9, 79.9]",72.8,76.2,76.9,72.1,74.5,0.748,0.839,0.168,1.245,-0.016,0.5421
